Korean Word,English Meaning,Hindi Meaning
공중전화,"payphone, public phone",सार्वजनिक फ़ोन
공짜,free,मुक्त
공책,"notebook, note",नोटबुक
공항,airport,हवाई जहाज
공휴일,public holiday,सार्वजनिक छुट्टियाँ
과,division,कक्षा
과거,past,अतीत
과일,fruit,फल
과자,snack,नाश्ता
과학,science,विज्ञान
관계,relation,संबंध
관광하다,"travel, sightsee",दर्शनीय स्थलों की यात्रा
관심,"attention, interest",दिलचस्पी
광고,advertisement,विज्ञापन
괜찮다,be okay,कोई बात नहीं
괜찮습니다,It's fine.,कोई बात नहीं
교과서,textbook,पाठयपुस्तक
교수,professor,प्रोफ़ेसर
교실,classroom,कक्षा
교체,"substitute, change",बदलाव
교통,traffic,ट्रैफ़िक
교통사고,traffic accident,कार दुर्घटना
교회,church,गिरजाघर
구,9,नौ
구경하다,take a look,घड़ी
구두,shoes,जूते
구름,cloud,बादल
구십,90,नब्बे
그리고,and,और
그리다,draw,खींचना
그림,"drawing, picture",चित्रकारी
그만,"stop, finish",रुकना
그분,"his, the person",उसे
그저께,day before yesterday,परसों
그중,among them,उनमें से
그쪽,"there, the person",वहाँ पर
그치다,"stop, end, cease",रुकना
극장,"theater, cinema",थिएटर
근처,"nearby, neighborhood",आस-पास
글,"post, sentence, character",लिखना
글쎄요,"I do not know., well, I guess ~",कुंआ
금방,"soon, a little while ago",बिल्कुल अभी
금연,no smoking,धूम्रपान निषेध
금요일,Friday,शुक्रवार
금주,"abstinence, temperance",संयम
급,"class, grade",कक्षा
급하다,"hurry, urgent",यह बहुत आवश्यक है
기간,"term, period",अवधि
기다리다,wait,इंतज़ार
기르다,"cultivate, grow",खेती
기름,"oil, gasoline",तेल
기분,feeling,मनोदशा
기뻐하다,"glad, delight",आनंद
기쁘다,happy,खुश
기사,"article, driver, engineer",लेख
기숙사,dormitory,छात्रावास
기억하다,remember,याद करना
기온,temperature,तापमान
기자,reporter,रिपोर्टर
기차,train,रेलगाड़ी
기침,cough,खाँसी
기타,other,वगैरह
긴장되다,be nervous,घबरा जाना
길,"way, road",सड़क
길다,long,लंबा
김,seaweed,समुद्री शैवाल
김밥,Kimbab,kimbap
김치,Kimchi,किम्ची
남기다,leave,छुट्टी
남녀,men and women,पुरुषों और महिलाओं
남대문시장,Namdaemun market,नमदामुन बाज़ार
남동생,younger brother,छोटा भाई
남미,South America,दक्षिण अमेरिका
남북,north and south,उत्तर और दक्षिण
남자,man,आदमी
남쪽,south,दक्षिण
남편,husband,पति
남학생,male student,लड़का
낮,"day, noon, during the day",दोपहर
낮다,low,नीचे
내,"of mine, my",मेरा
내가,I,मैं
내과,internal medicine,दवा
내년,next year,अगले साल
내다,"pay, put out",देना
내려가다,go down,नीचे जाना
내려오다,come down,नीचे आओ
내리다,go down,उतर जाओ
내용,content,विवरण
내일,tomorrow,कल
냄비,pot,बर्तन
냄새,smell,गंध
냉면,cold noodle,ठंडे नूडल्स
냉장고,refrigerator,रेफ़्रिजरेटर
너,you,आप
너무,"too, very",बहुत
넓다,wide,चौड़ा
넘다,"exceed, more than",से अधिक
넘어지다,"fall down, fall",ढहना
넣다,put in,जोड़ देना
네,"yes, 4",हाँ
넥타이,necktie,बाँधना
넷,4,चार
넷째,fourth,चौथी
년,year,वर्ष
노란색,yellow color,पीला
노랗다,yellow,पीला
노래,song,गाओ
다음달,next month,अगले महीने
다음주,next week,अगले सप्ताह
다음해,"next year, following year",अगले साल
다이어트,diet,आहार
다치다,hurt,हानि
닦다,"wipe, polish",पॉलिश
단어,word,शब्द
단점,"disadvantage, shortcoming, drawback",हानि
닫다,close,बंद करना
닫히다,"shut, close",बंद
달,"month, moon",चंद्रमा
달걀,egg,अंडा
달다,sweet,तौलना
달러,dollar,डॉलर
달력,calendar,कैलेंडर
달리다,run,दौड़ना
닭,"chicken, hen",मुर्गा
닭고기,chicken,मुर्गा
닮다,resemble,सदृश होना
담그다,"dip, pickle",डुबोना
담배,tobacco,सिगरेट
답장,reply,जवाब
당근,carrot,गाजर
당신,you,आप
대,"versus, large",बड़ा
대답,answer,उत्तर
대답하다,"answer, reply",उत्तर
대부분,"mostly, almost",ज्यादातर
대사관,embassy,दूतावास
대학,"university, college",विश्वविद्यालय
대학교,"university, college",विश्वविद्यालय
대학생,college student,अकादमिक
대학원,graduate school,ग्रेजुएट स्कूल
대학원생,"postgraduate student, graduate student",स्नातकोत्तर विद्यार्थी
대한민국,"Republic of Korea, South Korea",कोरिया
대화,"conversation, dialogue",बातचीत
대회,"competition, tournament",रैली
댁,house,डाक
더,more,अधिक
더럽다,dirty,गंदा
두부,tofu,टोफू
두부찌개,tofu soup,टोफू स्टू
둘,2,दो
둘째,"second, the second of~",दूसरा
뒤,"rear, back",पीछे
뒤쪽,"behind, back, towards the rear",पीछे
드라마,drama,नाटक
드리다,give,चोटी
드시다,eat (honorific form),खाओ
듣기,"listening, hearing",सुनवाई
듣다,listen,सुनना
들,"field, ~s,",मैदान
들다,"hold, enter",पकड़ना
들어가다,"go in, enter",प्रवेश करना
들어오다,"come in, enter",अंदर आएं
등,"etc, back",वगैरह।
등산,"hiking, mountain-climbing",पर्वतारोहण
등산복,mountaineering clothing,पर्वतारोहण के कपड़े
등산화,"hiking boots, climbing shoes",लंबी पैदल यात्रा के जूते
디브이디,DVD,डीवीडी
디자인,design,डिज़ाइन
따뜻하다,warm,गरम
따라가다,follow,अनुसरण करना
따라오다,"come with, follow",अनुसरण करना
따로,separately,अलग से
따르다,follow,अनुसरण करना
딸,daughter,बेटी
딸기,strawberry,स्ट्रॉबेरी
땀,sweat,पसीना
때,time,उन दिनों
때문,"because, for ~, so~",क्योंकि
떠나다,leave,छुट्टी
떠들다,"chatter, make a noise",उठाना
떡,rice cake,चावल का केक
떡국,rice cake soup,tteokguk
떡볶이,Toppogi,tteokbokki
떨어지다,drop,उतर जाओ
또,"in addition, again",भी
또는,or,या
똑같다,same,यह ऐसा ही है
매다,tie,बाँधना
매우,"extremely, very",बहुत
매일,everyday,रोज रोज
매주,every week,प्रत्येक सप्ताह
맥주,beer,बियर
맵다,spicy,मसालेदार
머리,"head, hair",सिर
먹다,eat,खाओ
먼저,"first, first of all, before",पहला
멀다,"far, distant, long",दूर रहो
멋있다,"cool, nice",स्टाइलिश
메뉴,menu,मेनू
메다,"shoulder, carry",मेडा
메모,memo,ज्ञापन
메시지,message,संदेश
멕시코,Mexico,मेक्सिको
며칠,"a few days, what date",कुछ दिन
면도,"razor, shaving",हजामत बनाने का काम
명,~ person(s),लोगों की संख्या
명절,"holidays, annual events",छुट्टी
몇,"a few, a number of",कुछ
모두,"all, everyone",प्रत्येक
모레,the day after tomorrow,परसों
모르겠습니다,I don't know.,मुझें नहीं पता
모르다,do not know,पता नहीं
모시다,"take you, serve you  (honorific form)",देवता-सदृश पूजा करना
모양,"shape, form, style",आकार
모으다,"collect, gather",इकट्ठा करना
모이다,"gather, get together",एकाग्र
모임,"meeting, gathering",कक्षा
모자,hat,टोपी
목,"neck, throat",गरदन
목걸이,necklace,गले का हार
목소리,voice,आवाज़
목요일,Thursday,गुरुवार
목욕,"bath, bathing",नहाना
목욕하다,take a bath,स्नान करो
목적,purpose,उद्देश्य
몸,body,शरीर
몸살,"sickness, disease that comes from fatigue",शरीर में दर्द
바뀌다,be changed,वीर
바나나,banana,केला
바다,sea,महासागर
바닷가,beach,समुद्र तट
바라다,hope,आशा
바람,wind,हवा
바로,"immediately, soon, just",जैसे ही
바르다,"right, paint, wear",सही
바쁘다,busy,व्यस्त
바이올린,violin,वायलिन
바지,pants,पैंट
박물관,museum,संग्रहालय
박수,"clap, applause",ताली
밖,"out, outside",बाहर
반,"half, group",आधा
반갑다,"nice to meet, happy",आपसे मिलकर अच्छा लगा
반갑습니다,Nice to meet you.,आपसे मिलकर अच्छा लगा
반년,half a year,आधा साल
반달,half-moon,आधा चंद्रमा
반바지,shorts,शॉर्ट्स
반지,ring,अँगूठी
반찬,side dish,सह भोजन
받다,receive,प्राप्त करें
발,"foot, leg",पैर
발가락,toe(s),पैर की अंगुली
발음,pronunciation,उच्चारण
발전,development,विद्युत उत्पादन
발표,"announcement, presentation",प्रस्तुति
밝다,bright,चमकदार
밤,night,रात
밥,"rice, meal",चावल
방,room,कमरा
방법,"way, method",तरीका
방송,broadcast,प्रसारण
방송국,broadcast stations,प्रसारण स्टेशन
방학,vacation,छुट्टी
배,"ship, stomach, pear",जहाज
배고프다,hungry,भूखा
배구,volleyball,वालीबाल
배달,delivery,वितरण
부부,"couple, husband and wife, married couple",शादीशुदा जोड़ा
부산,Busan,बुसान
부업,sideline,अप्रधान व्यवसाय
부엌,kitchen,रसोईघर
부인,"wife, Mrs.",महोदया
부장,director,प्रबंधक
부지런하다,diligent,परिश्रमी
부치다,"send, fry, transmit",भेजना
부탁,"request, please",पूछना
부탁하다,"beg, ask",कृपया
북쪽,North,उत्तर
분,"~ person(s), ~ minute(s)",मिनट
분위기,#N/A,वायुमंडल
불,"fire, electrical light",आग
불고기,"Bulgogi, grilled meat",बुल्गोगी
불다,"blow (wind or whistle, musical instruments, etc.)",फूँक मारना
불편하다,"uncomfortable, inconvenient",असुविधाजनक
붓다,pour,बहना
붙다,"stick, pass a test",उत्तीर्ण
붙이다,"attach, stick",संलग्न करना
브라질,Brazil,ब्राज़िल
블라우스,blouse,ब्लाउज
비,rain,बारिश
비누,soap,साबुन
비디오,video,वीडियो
비밀,secret,गुप्त
비빔밥,"Bibimbap, mixed rice",बिबिंबैप
비슷하다,"similar, like",समान
비싸다,expensive,महँगा
비행기,airplane,हवाई जहाज
비행장,"airfield, airport",एयरफील्ड
빌딩,building,इमारत
빌리다,"borrow, lend",उधार
빠르다,fast,तेज़
빨간색,red color,लाल
빨갛다,red,यह लाल है
빨다,"suck, do laundry",चूसना
빨래,"laundry, wash",धोना
빨리,quickly,जल्दी
빵,bread,रोटी
삼촌,paternal uncle,चाचा
상관,relation,चिंता
상자,box,डिब्बा
상처,"wound, scratch",घाव
상품,product,चीज़ें
새,"bird, new",चिड़िया
새로,newly,नया
새벽,"dawn, late at night, early morning",भोर
새우,shrimp,झींगा
색,color,रंग
색깔,color,रंग
샌드위치,sandwich,सैंडविच
생각,"thinking, thought",सोचा
생각되다,"be considered, it seems~",सोचना
생각하다,think,सोचना
생기다,"form, arise",घटित होना
생선,fish,मछली
생신,birthday  (honorific form),जन्मदिन
생일,birthday,जन्मदिन
생활,life,ज़िंदगी
샤워하다,take a shower,शॉवर लें
샴푸,shampoo,शैम्पू
서다,stand,खड़ा होना
서로,"each other, both",एक दूसरे
서류,document,दस्तावेज़
서른,30,तीस
서비스,service,सेवा
서양,"western, west",पच्छम
서울,Seoul,सोल
서울역,Seoul station,सियोल स्टेशन
서점,bookstore,किताबों की दुकान
서쪽,"west, western",पश्चिम
선물,"gift, present",उपहार
선배,"elder, senior",वरिष्ठ
선생님,teacher,अध्यापक
선수,player,खिलाड़ी
선택하다,"choose, select",चुनना
선풍기,fan,बिजली का पंखा
설거지,"washing dishes, dish-washing",बर्तन धोना
설날,Lunar New Year,नया साल
수도,"capital, water supply",पूंजी
수돗물,tap water,नल का जल
수박,watermelon,तरबूज
수술하다,operate on for,प्रचालन
수업,"class, lesson",कक्षा
수영,swimming,तैरना
수영복,swimsuit,बिकनी
수영장,swimming pool,स्विमिंग पूल
수요일,Wednesday,बुधवार
수저,chopsticks and a spoon,चम्मच और चॉपस्टिक
수첩,"note, notebook",नोटबुक
수학,mathematics,गणित
숙제,homework,गृहकार्य
순서,"order, turn",आदेश
숟가락,spoon,चम्मच
술,"alcohol, liquor",शराब
쉬다,rest,आराम
쉰,50,कर्कश
쉽다,easy,आसान होना
슈퍼마켓,supermarket,सुपरमार्केट
스물,20,बीस
스웨터,sweater,स्वेटर
스케이트,skate,स्केट
스키,"ski, skiing",स्की
스키장,ski resort,स्की रिसॉर्ट
스타,star,तारा
스타킹,stockings,मोज़ा
스트레스,stress,तनाव
스페인어,Spanish,स्पैनिश
스포츠,sport,खेल
슬퍼하다,"sorrow, mourn",म्लान होना
슬프다,sad,दुखद
습관,habit,आदत
시,"city, time",शहर
시간,time,घंटा
시간표,"schedule, timetable",समय सारिणी
시계,clock,घड़ी
시골,countryside,ग्रामीण क्षेत्र
시끄럽다,noisy,यहाँ शोर हो रहा है
시내,"downtown, city, stream",शहर
쓰기,"writing, dictation",लिखना
쓰다,"write, use, wear (glasses)",लिखना
쓰레기,garbage,कचरा
쓰이다,"be written, be used",सेवा करना
씨,"seed, Mr. ~",बीज
씩,"each, every, per",हर बार
씹다,"chew, bite",चबाना
씻다,wash,धोना
아가씨,"Miss, daughter",याद
아기,"baby, toddler",बच्चा
아까,"earlier, while ago",एक क्षण पहले
아내,wife,पत्नी
아뇨,no,नहीं
아니다,no,नहीं
아니오,no,नहीं
아니요,no,नहीं
아들,son,बेटा
아랍어,Arabic,अरबी
아래,"bottom, under",अंतर्गत
아름답다,beautiful,सुंदर
아마,"maybe, perhaps",शायद
아무,any,कोई
아버님,father,पिता
아버지,father,पिता
아빠,dad,पापा
아시아,Asia,एशिया
아이,child,बच्चा
아이스크림,ice cream,आइसक्रीम
아저씨,"uncle, mister",श्रीमान
아주,"very, completely",बहुत
아주머니,"old lady, madame, aunt",महोदया
아줌마,"old lady, madame, aunt",चाची
아직,"yet, still",अभी तक
아침,"morning, breakfast",सुबह
아침밥,breakfast,नाश्ता
아침식사,breakfast,नाश्ता
아파트,"apartment, mansion",अपार्टमेंट
아프다,"painful, sick",बीमार
아프리카,Africa,अफ़्रीका
아홉,9,नौ
어른,adult,वयस्क
어리다,young,युवा
어린이,child,बच्चे
어머,"oh, well",ओह
어머니,mother,माँ
어머님,mother,माँ
어서,"hurry, quickly",जल्दी
어울리다,"look good on, befit",समान होना
어저께,yesterday,कल
어제,yesterday,कल
어젯밤,last night,कल रात को
언니,sister (as seen from the younger sister),बहन
언제,when,कब
언제나,"always, anytime",हमेशा
얼굴,face,चेहरा
얼마나,how much,कितना
얼음,ice,बर्फ़
엄마,mom,माँ
없다,"none, no, not",मौजूद नहीं
없이,without,बिना
에어컨,air conditioner,एयर कंडीशनिंग
엔,yen,एन
엘리베이터,elevator,लिफ़्ट
여권,passport,पासपोर्ट
여기,here,यहाँ
여기저기,here and there,इधर - उधर
여덟,8,आठ
여동생,younger sister,छोटी बहन
여든,80,अस्सी
여러,"various, many",अनेक
여러가지,"several, various",विभिन्न
여러분,"everyone, ladies and gentlemen",सब लोग
여름,summer,गर्मी
여보세요,hello,नमस्ते
여섯,6,छह
여자,woman,महिला
여학생,female student,छात्रा
여행,travel,यात्रा
여행사,"travel agency, travel firm",ट्रैवल एजेंसी
역,station,स्टेशन
오랫동안,for a long time,कब का
오렌지,orange,नारंगी
오르다,climb,उठना
오른쪽,"right side, right",सही
오리,duck,बत्तख
오빠,brother (as seen from the younger sister),भाई
오십,50,पचास
오월,May,मई
오이,cucumber,खीरा
오전,"morning, a.m.",सुबह
오징어,squid,calamari
오후,afternoon,दोपहर
올라가다,go up,ऊपर जाना
올라오다,come up,आएं
올려놓다,"put on, place",उम्मीदवार होना
올림픽,olympic,ओलंपिक
올해,this year,इस साल
옮기다,"move, transfer, translate",कदम
옷,"dress, clothes",कपड़े
옷가게,clothing store,कपड़ों की दुकान
옷장,closet,कपड़े की अलमारी
와이셔츠,shirt,औपचारिक शर्ट
왜,why,क्यों
왜냐하면,because,क्योंकि
외국,foreign country,विदेश
외국어,foreign language,विदेशी भाषा
외국인,foreigner,परदेशी
외롭다,lonely,अकेला
외삼촌,maternal uncle,मामा
외숙모,maternal aunt,मामी
외출하다,go out,बाहर जाओ
외할머니,maternal grandmother,नानी
외할아버지,maternal grandfather,मातृक नाना
왼쪽,left,बाएं
요금,fee,शुल्क
요르단,Jordan,जॉर्डन
요리,"cooking, cuisine",खाना बनाना
요일,day of the week,सप्ताह का दिन
요즘,"nowadays, around this time, lately",हाल ही में
우리,"we, us",हम
은행,bank,किनारा
은행원,bank clerk,बैंक क्लर्क
음료수,"drink, soft drink",पीना
음반,record,अभिलेख
음식,"food, cooking",खाना
음악,music,संगीत
음악가,musician,संगीतकार
응,Yeah (answer),हुह
의미,meaning,अर्थ
의사,doctor,चिकित्सक
의자,chair,कुर्सी
이,"this, tooth, 2",यह
이거,this,यह
이것,this,यह
이곳,"this place, here",यहाँ
이따가,later,बाद में
이런,"this, such ~",यह
이렇게,"like this, so, in this way",इस कदर
이렇다,like this,तो ये बात है
이름,name,नाम
이메일,e-mail,ईमेल
이모,maternal aunt,चाची
이모부,maternal uncle,चाचा
이번,this time,इस बार
이분,this person,इस व्यक्ति
이사,"move, moving",कदम
이상,"more than, strange",अधिक
이상하다,"strange, funny, weird",अजीब
이십,20,बीस का दशक
이야기,story,कहानी
이야기하다,talk,बात करना
이용,usage,उपयोग
이용하다,use,उपयोग
이월,February,पर ले जाया गया
이유,reason,कारण
이제,now,अब
이집트,Egypt,मिस्र
이쪽,"this way, here, this person",इस तरह
이틀,two days,दो दिन
이해,understanding,समझ
입다,"put on, wear",लगाओ
입원하다,hospitalize,अस्पताल में भर्ती होना
입학,admission,विद्यालय में प्रवेश
있다,"have, there",वहाँ है
잊다,forget,भूल जाओ
잊어버리다,forget,भूल जाओ
자,"character, Here we go.",शासक
자기,"myself, own",खुद
자다,sleep,नींद
자동차,"car, automobile",ऑटोमोबाइल
자동차회사,car company,कार कंपनी
자료,"material, document",डेटा
자르다,cut,काटना
자리,"seat, location",सीट
자신,"myself, own",स्वयं
자연,nature,प्रकृति
자유,freedom,स्वतंत्रता
자장면,Jajangmyeon,jajangmyeon
자전거,bicycle,साइकिल
자주,often,अक्सर
작년,last year,पिछले साल
작다,small,छोटा हो
작은아버지,uncle,चाचा
작은어머니,aunt,चाचा
잔,"glass, ~ cup(s)",काँच
잔치,"party, feast",दावत
잘,well,कुंआ
잘못,mistake,गलत
잘생기다,handsome,आकर्षक
잘하다,"do well, good at",अच्छा करें
잠,"slumbers, sleep",नींद
잠깐,"for a while, a little",एक पल के लिए
잠시,"for a bit, for a while, a little",एक पल के लिए
잠자다,"sleep, go to bed",नींद
잡다,"catch, grab, hold",ग्रेपल
잡수시다,eat (honorific form),चलो खाते हैं
잡지,magazine,पत्रिका
장,"~ chapter(s), ~ sheet(s)",पेज
장갑,gloves,दस्ताने
장마,rainy season,बरसात का मौसम
젓가락,chopsticks,चीनी काँटा
정거장,"station, depot",रुकना
정도,degree,डिग्री
정류장,"station, bus stop",रुकना
정리하다,"straighten out, organize",आयोजन
정말,"really, truly",वास्तव में
정문,"front door, main gate",फाटक
정보,information,जानकारी
정하다,"choose, establish",तय करना
제가,I,मैं हूँ
제목,title,शीर्षक
제일,most,अधिकांश
제주도,Jeju Island,जाजू द्वीप
조금,a little,थोड़ा
조사하다,investigate,जाँच करना
조선,"shipbuilding, Korea",जहाज निर्माण
조선말,Korean language,जोसोन भाषा
조선어,Korean language,कोरियाई
조심하다,"be careful, warn",ध्यान से
조용하다,"silent, quiet",शांत
조용히,quietly,चुपचाप
조카,nephew,भतीजा
졸업,graduation,स्नातक
졸업하다,graduate,स्नातक
좀,a little,थोड़ा
좀더,a little more,अधिक
좁다,narrow,सँकरा
종로,Jong-ro,जोंगनो
종류,"kind, type",प्रकार
종업원,employee,कर्मचारी
종이,paper,कागज़
종일,all day,दिन भर
좋다,good,शुभ रात्रि
좋아하다,like,पसंद
죄송하다,sorry,क्षमा मांगना
주,week,मुख्य
주다,give,देना
주로,mainly,ज्यादातर
주말,weekend,सप्ताहांत
주머니,"pocket, pouch",जेब
지다,lose,खोना
지도,map,नक्शा
지방,"fat, region",प्रांत
지우개,eraser,रबड़
지키다,protect,रक्षा करना
지하,underground,भूमिगत
지하도,underpass,सुरंग
지하철,subway,भूमिगत मार्ग
지하철역,subway station,सबवे स्टेशन
직업,"job, profession",काम
직원,"employee, staff",कर्मचारी
직장,workplace,रेक्टल
직접,"directly, direct",सीधे
진달래,azalea,Azalea
질,quality,गुणवत्ता
질문,question,सवाल
질문하다,ask a question,प्रश्न पूछें
짐,"load, baggage",भार
집,"house, shop",घर
짓다,"build, create",लिखें
짜다,"salty, make (the plan)",नमकीन
짜리,a value (won coin),बड़ा
짧다,short,छोटा
쪽,"side, page",ओर
쯤,"about, around ~",के बारे में
찌개,"stew, soup",शोरबा
찍다,"pierce, take (a photo), press",कुल्हाड़ी से काटना
차,"car, tea",कार
차갑다,cold,ठंडा
차다,kick,ठंडा
차리다,"prepare, arrange",तैयार करना
착하다,"be good, friendly",दयालु
참,"really, very",वास्तव में
창문,window,खिड़की
찾다,"find, visit",खोजो
찾아가다,go to visit,मिलने जाना
찾아오다,come to visit,आओ घूम जाओ
채소,vegetable,सब्ज़ी
책,book,किताब
책방,bookstore,किताबों की दुकान
층,"layer, ~ floor",ज़मीन
치과,"dentist, dentistry",दंतचिकित्सा
치료하다,treat,इलाज
치마,skirt,स्कर्ट
치약,toothpaste,टूथपेस्ट
친구,friend,दोस्त
친절하다,be kind,अच्छा
친척,relative,रिश्तेदार
친하다,"close, familiar",दोस्ताना
칠,7,सात
칠십,70,सत्तर
칠월,July,जुलाई
칠판,blackboard,ब्लैकबोर्ड
침대,bed,बिस्तर
칫솔,toothbrush,टूथब्रश
카드,card,कार्ड
카레,curry,करी
카메라,camera,कैमरा
카페,"cafe, coffee shops",कैफ़े
칼,"knife, cutlery, swords",चाकू
캐나다,Canada,कनाडा
커피,coffee,कॉफी
커피숍,coffee shop,कॉफी की दुकान
컴퓨터,"computer, PC",कंप्यूटर
컵,cup,कप
케이크,cake,केक
켜다,"turn on (the light, the power, etc.)",देखा
코,nose,नाक
코트,coat,परत
코피,nosebleed,नकसीर
콜라,Coke,कोला
콧노래,humming,गिनगिनानेवाला
콧물,"snot, nasal discharge",गुस्ताख़
콩,"bean, soy",बीन
크기,size,आकार
크다,"big, large",बड़ा
크리스마스,Christmas,क्रिसमस
큰아버지,uncle,चाचा
큰어머니,aunt,सबसे बड़ी माँ
키,"key, height",चाबी
펜,pen,कलम
펴다,"spread, stretch",फैलाना
편,"side, episode",ओर
편지,letter,पत्र
편하다,"comfortable, easy, convenient",आराम
평양,Pyongyang,फियोंगयांग
평일,weekday,काम करने के दिन
포도,grape,अंगूर
포장,packing,पैकेजिंग
표,"table, ticket",ग्राफ
표현,expression,अभिव्यक्ति
푹,deeply,गहरा
풀,"pool, grass",घास
풀다,solve,खंडित
프랑스,France,फ्रांस
프로그램,program,कार्यक्रम
프린트,print,छपाई
피,blood,खून
피곤하다,tired,मैं थक गया हूं
피다,bloom,खिलना
피아노,piano,पियानो
피우다,"smoke, bloom",धुआँ
피자,pizza,पिज़्ज़ा
필름,film,पतली परत
필요,necessity,ज़रूरी
필요하다,need,ज़रूरत
필통,pencil case,क़लमदान
하나,1,एक
하늘,sky,आकाश
하늘색,"sky blue, light blue",आसमानी नीला
하다,"do, say",करना
하루,one day,दिन
하숙,"boarding house, lodging house",अस्थायी आवास
하숙집,"boarding house, lodging house",आवासीय घर
하얀색,white color,सफ़ेद
하얗다,white,यह सफ़ेद है
하지만,"but, however",लेकिन
학,crane,क्रेन
학교,school,विद्यालय
학기,semester,अवधि
호주,Australia,ऑस्ट्रेलिया
호텔,hotel,होटल
혼자,alone,अकेला
홈페이지,home page,मुखपृष्ठ
홍차,black tea,काली चाय
화,anger,रोष
화가,"artist, painter",कलाकार
화나다,angry,क्रोध करना
화내다,get angry,क्रोध करना
화요일,Tuesday,मंगलवार
화장실,"restroom, toilet, lavatory",पाख़ाना
화장품,cosmetics,प्रसाधन सामग्री
화장하다,makeup,पूरा करना
확인하다,"confirm, check",जाँच करना
환영하다,welcome,स्वागत
환자,patient,मरीज़
회사,company,कंपनी
회사원,employee,कर्मचारी
회색,grey,स्लेटी
회의,conference,बैठक
횡단보도,crosswalk,क्रॉसवॉक
후,after,बाद
후배,Junior,कनिष्ठ
휴가,"vacation, holiday",छुट्टी
휴대전화,"cell phone, mobile phone",चल दूरभाष
휴일,holiday,छुट्टी का दिन
휴지,toilet paper,ऊतक
휴지통,trash can,कूड़े की टोकरी
흐리다,cloudy,धुंधला
흰색,white color,सफ़ेद
힘,power,ताकत
